[SPEAKER] [SYSTEM] [i] [WER] S:[numSubstitutions], I:[numInsertions], D:[numDeletions]
S-14B Google 0 38.33865814696485 S:62, I:2, D:56
S-14B Google 1 38.76923076923077 S:61, I:3, D:62
S-14B Google 2 35.947712418300654 S:59, I:6, D:45
S-14B Google 3 50.40650406504065 S:38, I:1, D:23
S-14B Google 4 40.74074074074074 S:57, I:5, D:59
S-14B Google 5 31.900452488687783 S:66, I:10, D:65
S-14B Google 6 38.095238095238095 S:7, I:0, D:17
S-14B Google 7 20.512820512820515 S:6, I:1, D:9
S-14B Google 8 28.571428571428573 S:2, I:0, D:6
S-14B Kaldi 0 26.837060702875398 S:39, I:21, D:24
S-14B Kaldi 1 28.923076923076923 S:41, I:14, D:39
S-14B Kaldi 2 24.836601307189543 S:41, I:11, D:24
S-14B Kaldi 3 41.46341463414634 S:32, I:12, D:7
S-14B Kaldi 4 24.915824915824917 S:35, I:15, D:24
S-14B Kaldi 5 19.683257918552037 S:45, I:17, D:25
S-14B Kaldi 6 26.984126984126984 S:7, I:4, D:6
S-14B Kaldi 7 28.205128205128204 S:13, I:7, D:2
S-14B Kaldi 8 25.0 S:2, I:1, D:4
S-32D Google 0 46.51162790697674 S:40, I:15, D:45
S-32D Google 1 34.602076124567475 S:35, I:1, D:64
S-32D Google 2 42.53393665158371 S:42, I:1, D:51
S-32D Google 3 38.69731800766284 S:24, I:2, D:75
S-32D Google 4 53.46153846153846 S:29, I:3, D:107
S-32D Google 5 33.65853658536585 S:22, I:4, D:43
S-32D Google 6 51.5625 S:10, I:0, D:23
S-32D Google 7 46.464646464646464 S:18, I:0, D:28
S-32D Google 8 33.333333333333336 S:4, I:0, D:5
S-32D Google 9 33.333333333333336 S:25, I:2, D:23
S-32D Google 10 76.92307692307692 S:2, I:1, D:7
S-32D Google 11 50.90909090909091 S:6, I:12, D:10
S-32D Kaldi 0 35.348837209302324 S:30, I:30, D:16
S-32D Kaldi 1 18.685121107266436 S:32, I:5, D:17
S-32D Kaldi 2 31.221719457013574 S:34, I:11, D:24
S-32D Kaldi 3 14.942528735632184 S:18, I:8, D:13
S-32D Kaldi 4 19.23076923076923 S:24, I:8, D:18
S-32D Kaldi 5 14.634146341463415 S:16, I:5, D:9
S-32D Kaldi 6 23.4375 S:6, I:0, D:9
S-32D Kaldi 7 24.242424242424242 S:11, I:0, D:13
S-32D Kaldi 8 14.814814814814815 S:1, I:2, D:1
S-32D Kaldi 9 25.333333333333332 S:15, I:4, D:19
S-32D Kaldi 10 30.76923076923077 S:2, I:1, D:1
S-32D Kaldi 11 29.09090909090909 S:3, I:9, D:4
S-4D Google 0 50.427350427350426 S:106, I:14, D:116
